id,year,text,label
657,2016,Back-end Developer Some of my previous employers,2
1940,2017,"Educate employees about mental health and what wellness looks like. Encourage them to regularly check in with themselves and maybe complete self-assessments so they can notice if they're not doing well. Encourage open discussion about the topic to normalize it and make it easier to discuss with managers. Encourage people to take mental health days and respond positively when they say they need to. Previous workplace: not being checked in with when red flags come up, not being allowed to take mental wellness days, mocked for bringing the idea up and seen as unable to deal with stress. I have multiple mental disorders and am very open about it in hopes of normalizing them. Everyone has been receptive and this has also encouraged others to discuss issues. But some people without mental disorders act like there's no stigma anymore and that it shouldn't be a big deal to talk about. We only have an HDHP and I find it difficult to justify therapy and mental healthcare when I will otherwise come nowhere near my deductible. Only preventive care is covered before the deductible. After the deductible everything is covered 100%. I would rather sign up for a PPO, because even if premiums are higher, it's a commitment to my mental wellness for the year and I don't have to decide if I'm worth it on a weekly basis. I also felt we weren't doing enough to promote mental wellness, especially bc the company prides itself on being a great place to work with tons of benefits. I addressed it with them in summer 2015. No action was taken for the 2016 or 2017 plan year. But for 2018 they are offering a PPO and an interest-free loan for low earners who are concerned with cash flow for the HDHP plan. They told me they had similar experiences that I had spoken about and were looking for guidance and connection. Some of my previous supervisors",1
643,2016,"Front-end Developer No, at none of my previous employers",2
2727,2019,"Provide support and educate from the top down ensuring line managers especially are supportive and educated Had a text conversation on slack and they were very supportive They covered how they were currently feeling, the pressure they were under, and how it was affecting them Some of my previous supervisors",1
2799,2019,"make it less taboo break-up related, got support from them don't remember Some of my previous supervisors",1
3304,2021,Some of my previous supervisors At some of my previous employers,2
2428,2018,"allow remote and flexible work to accommodate appointments;  discuss mental health when onboarding new employees and talking about benefits; promote diverse people and background to normalize comments about others' behavior/ health as a negative. mental health as a pejorative (a crazy person) and my biggest annoyance - confusing bipolar / multiple personalities with ""Schizo"" it wasn't a good thing. mostly off hand comments about people being ""crazy"" or ""off their meds"" tech is doing better with mental health than other industries.  I see other companies that are good about letting  folks who need to go to appointments during the day, take personal time, etc. It is at least better than other industries. No, none of my previous supervisors",0
377,2016,Back-end Developer I don't know,2
522,2016,Back-end Developer Some of my previous employers,2
3467,2022,"General discussion about the importance of maintaining a healthy mental health while working in IT. Receptive discussion. General discussion No, none of my previous supervisors At some of my previous employers If it would impact my ability to perform a task, then I would reveal it. Like I can't lift 100lbs,or something like that while in a more physically demanding role. I feel like it's up to me to manage them and I'm personally driven and motivated to not let any mental issues on my side to impact my professional side. IT is a very trusted role within any organization. Mental health stigmas can have a person in the IT role with an extra level of scrutinization while performing their job.",0
2302,2017,"Have a slack channel where people can discuss mental health No, none of my previous supervisors",1
2717,2018,Provide training or resources to educate or normalize health differences Multiple conversations Supportive. They understood what I was going through. Offered time off or to make other accommodations. This is too much to answer on mobile Thanks Some of my previous supervisors,1
3125,2020,"No, none of my previous supervisors No, at none of my previous employers Na Na Don’t know No",2
1781,2017,"I think most workplaces in tech just struggle with diversity in general. And placing more value in different types of people, i.e. race/gender/life experience/mental health/family balance, are all related to how the industry as a whole could improve. Some of my previous supervisors",1
1797,2017,Make awarrness of the possible issues No need Some of my previous supervisors,1
585,2016,Supervisor/Team Lead | Support Some of my previous employers,1
2205,2017,A direct report talked to me about his child's mental health issue. Some of my previous supervisors,1
317,2016,Other | Supervisor/Team Lead | Back-end Developer | One-person shop Some of my previous employers,2
3003,2019,be forward solution focused instead of punitive Some of my previous supervisors,1
2809,2019,"Talk about it more (this HAS gotten better), deal with people feeling stigmatized for talking about how they actually feel.

Stop focusing on utilization/productivity as the only metric of success. The goal shouldn't be to find out how much work you can dump on someone before they break. I was told to deal with it, and that problems like this would come up at any job ""it's just life"" It was during a non-work event where liquor was involved - they were not surprised and had similar experiences Feeling overwhelmed, overworked, and under supported by the company. 

They described the effects on their personal and professional life, and had a strong desire to leave the org. Nope! Some of my previous supervisors",1
218,2016,Other Some of my previous employers,2
3007,2019,"Encourage understanding mental health and sensitize employees only the colleagues I consider friends understood. The others were wary A relative was a victim of depression and committed suicide. The colleague understood then how important mental health is No, none of my previous supervisors",1
1076,2016,"Designer No, at none of my previous employers",2
111,2014,Bipolar spectrum is tricky.,2
574,2016,Dev Evangelist/Advocate | DevOps/SysAdmin Some of my previous employers,2
2779,2019,"Coworker talking about their AA process No, none of my previous supervisors",1
2665,2018,"Ease up stressful and high pressure environments. Said coworkers are also good friends, so were supportive.",1
2788,2019,Some of my previous supervisors,2
3065,2020,I don't know At some of my previous employers I would need accomodation or flex time/work from home. Not applicable. Also worried about not being hired. Increase paid benefits. Remove stigma.,1
1699,2017,"The values of the tech industry are very much focused on day-to-day productivity, which can be very difficult for people with mental health issues. My experience has been that employers are unwilling to differentiate between the performance impacts of mental health issues and other causes of low productivity. This leads to punishment and shaming, even when the company espouses support for sufferers. I think companies could focus more on what people have to offer, helping find good fit positions, and understanding that those with mental health issues will often have a more cyclical pattern of productivity than others. Not a response as such, but a previous manager made some derogatory comments about sufferers of ADHD that made me unwilling to open up to him when I was experiencing difficulties. I recently talked about my mental health struggles with a co-worker that I knew had some issues of her own. We were able to commiserate and provide some empathy for one another. I don't talk about mental health concerns with co-workers unless I have some indication of their views on the subject first. I have been very up front about my mental health concerns with my manager. We hada talk recently about how they've been affecting my productivity. He's been very supportive and has offered to help any way he can, though I haven't come up with useful accommodations to ask for. I have talked about depression, anxiety, and ADHD with previous coworkers. I chose who to talk to based on my understanding of their views such that I always found sympathetic listeners (often those with issues of their own). I have only had coworkers talk to me about their own mental health when I have opened the conversation by bringing up my own concerns/issues. I always try to extend as much empathy and support as I can. Usually, just having someone listen without judgment seems to help. Some of my previous supervisors",1
3119,2020,"Some of my previous supervisors At some of my previous employers It's not their business. It's not their business, plus stigma surrounding mental health. Raise awareness, offer proactive support, reduce stigmas surrounding mental health.",1
1632,2017,"Recognizing that people have problems and give them time to deal with them. The same time it would be for going to see a physical doctor or a dentist. Admitting you have a mental illness is the first step. The second is to do something about it. This second step is the hardest to do. No, none of my previous supervisors",1
3340,2021,"I had an episode and went to the hospital. It was a panic attack. My direct manager took me there and stayed until I got accepted. I'm bipolar 2 and after this episode I started to be more open about my illness. It may be just an impression, but my coworkers started to be really careful about me and anytime they asked me about it it was ""how are you?"", ""are you feeling better?"", they were never capable of using the word bipolar, for example, as if it was a taboo of some sort. Some of my previous supervisors I was working too much and started to perform worse that it was supposed to be, given the amount of time I was putting. I was not aware at that point, but I was probably about to have a burnout. We went to this meeting, just three of us, to discuss technical related topics. At some point, my performance became a topic and I ended up crying. My coworker and manager were really understanding and made me feel comfortable, even though I was really afraid of crying in the workplace.  Till this day, I have a really good friendship with this coworker. By the way, this experience happened in another country (from the previous question). The previous one happened in Germany and this one in Brazil At some of my previous employers It was the outcome of some episode. I had to be open and tell them what was happening. After that, they became more understanding, but sometimes in a bad way, like if I was not capable to handle pressure as I would be before they knew about the illness. Of course, if we are talking about a physical health issue which is going to affect my work, I would bring, but if we are talking about, let's say, diabetes (and I have it under control) I cannot see any reasons for bring it to discussion in an interview. I cannot see the point of bringing it during the interview process. Just like the physical illness, I could bring it if it was something that could impact my performance. It seems to me that bad management makes a huge impact on people's mental health. It is where all the unnecessary pressure starts, the unnecessary short deadlines, the frequent change of priority. I think having the industry pacing down, respecting the processes, and giving people reasonable deadlines, would make a great difference. Other than that, a more humane HR, open channels for discussing mental health and more flexible vacation/sick days would represent a good change. It is normal having people from one country, living in another one answering this survey (I think). When asked about experiences, for instance, it would be nice, and probably interesting for the research, having the answers attached to the country where it happened. The experience I had in Brazil is completely different from the experience I'm having now living in Germany.",1
1559,2016,"Executive Leadership No, at none of my previous employers",0
825,2016,"Front-end Developer No, at none of my previous employers",2
2308,2017,"As I see it being talked about at conferences, I think the more we can educate others about mental health issues and how to be supportive, the better and more supportive we can be. I've seen coworkers dismissive of mental health disorders, claiming people were ""making them up to get out of doing their job"". Some of my previous supervisors",1
881,2016,Other Some of my previous employers,2
404,2016,Front-end Developer | Back-end Developer | Support Some of my previous employers,2
3447,2022,"Mine was a burn-out. This was diagnosed by a doctor. The conversation went very well with my supervisor. They were open to the issue and understood the need for help and time Some of my previous supervisors At some of my previous employers Find this difficult. I am not defined by my burn-out. My skills are not defined by it. Mentioning this in an interview will cast a negative shadow over the conversation whether the person you’re talking to is open and understanding to the issue or not. I do however also not want to hide things and make them appear better then they are at this point in time. See my previous answer Open the conversation about the topic. Make people aware and make them feel comfortable to talk about it. Let them know where to go and what to do if they feel the need to talk. I had no idea where to go. I felt a burn-out couldn’t happen to me. I had to be stronger but eventually that mindset is what tackled me. I kept going and kept going. Trying to help everyone, be better, do more. Because I felt this is what was expected of me. But if someone told me that was absolutely not expected maybe I would have calmed down earlier",1
130,2014,I suffered of panic attacks and agoraphobia for about 10 years.,1
636,2016,Supervisor/Team Lead | DevOps/SysAdmin | Support | Back-end Developer | Front-end Developer Some of my previous employers,2
1738,2017,"I told a colleague about my depression Some coworkers talked to me about depression No, none of my previous supervisors",1
1891,2017,"A notification and discussion No, none of my previous supervisors",0
1168,2016,One-person shop Some of my previous employers,2
749,2016,Supervisor/Team Lead Some of my previous employers,2
529,2016,One-person shop I don't know,2
2052,2017,"acknowledging there are many people drawn to tech for many reasons, some of them include mental and physical health reasons. knowing there are friends, coworkers, and superiors who might struggle can humanize the issues. mostly offhand comments about others being ""crazy,"" acting like a drug addict, ""going postal"" etc unsupportive / negative views of mental health. No, none of my previous supervisors",0
1687,2017,"HR is not tech and they are not kind to people with disabilities that are not mobility or vision related. New employee with mental health issues that needed a support animal was let go because he no longer had the 14-year old note from his doctor for his service dog (dog was 14 years old) and his doctor was three states away. We discussed his depression and his wife's PTSD when I was distressed about how much time I might need off to care for my relative who was having a mental health crisis. Stigma on mental health is also applicable to brain injury.  There is a lot of overlap. No, none of my previous supervisors",0
3052,2019,raise awareness no I don't know,1
700,2016,DevOps/SysAdmin | Back-end Developer | Front-end Developer | Designer Some of my previous employers,2
3103,2020,I had to take leave for several days due to a mood episode that caused me to be hospitalized. My boss was supportive and asked basically no questions. Skip Skip Stigma Skip N/a,1
2094,2017,"No, none of my previous supervisors",0
2792,2019,"Yes, all of my previous supervisors",2
1498,2016,Front-end Developer,2
770,2016,Front-end Developer | Back-end Developer Some of my previous employers,2
223,2016,"Back-end Developer No, at none of my previous employers",2
2860,2019,"More promotion of taking mental health days, more support for remote working (travel budgets are never large enough to truly bring everyone together than needed), more ways to build trust an openness in teams. The stress of the job and the way it manifests in terms of behaviours (people see one thing, but do not make the connection to the cause). In our team we promote ""it's OK to not be OK"", but so far no one has had the courage to take a mental health day. Someone so stressed that he needed an intervention from management to seek counselling. No",1
1031,2016,Designer Some of my previous employers,2
3448,2022,"I don't know No, at none of my previous employers",2
542,2016,Other Some of my previous employers,2
273,2016,"Designer No, at none of my previous employers",2
1377,2016,"Front-end Developer | Back-end Developer No, at none of my previous employers",2
1212,2016,"Other No, at none of my previous employers",2
3011,2019,Some of my previous supervisors,2
149,2014,"When I've had a depression, I was lucky to have an awesome manager who was very understanding and found a budget to pay for my therapy sessions.",1
3423,2022,"coworker was stressed, we talked about things and tried to help him through it I don't know At some of my previous employers it depends on the condition and whether it would / could affect my future performance I haven't needed to, so haven't given it any thought. But if I was looking for a job, I'm most likely to try and hide any shortcomings in order to hopefully secure the role to continue talking about it, improving people's education and awareness",1
1785,2017,"More open conversations. Social contexts - hey, it's been a rough week, new med is kicking my ass, etc. Some of my previous supervisors",1
1504,2016,Front-end Developer Some of my previous employers,2
490,2016,"Other No, at none of my previous employers",2
2420,2018,Some of my previous supervisors,2
2015,2017,"As burnout is becoming a well known problem, It seems to me that now, thing are starting to change positively ""He : I'm totaly inefficient
Me : what do you mean ? 
He : Every task I try to do will take me a long time, even the simpliest ones.
Me : Because of your tiredness ? 
He : Yeap"" No No, none of my previous supervisors",1
3002,2019,"Ensure teams have access to adequate stress relief programs, have open dialogue with team members (as managers/ leaders) about mental health needs, have an HR section during on-boarding specifically about how we handle mental health, accommodations examples we've made, instructions on how to best talk about mental health. Upper level management criticizing (generally) those with disorders and trivializing their symptoms. A subordinate expressing environment needs to assist with disorders they have/ make their workdays more manageable. Expressing their need for slightly different work accommodations so they can perform at their best in relation to their needs. Some of my previous supervisors",1
3493,2022,"Yes, all of my previous supervisors Yes, at all of my previous employers They should know that I may or may not be able to perform some of the tasks without assistance. The employer should know that there might be times when I have to take a break to make sure I don't have a breakdown. make their stance on mental health known at the beginning and be supportive",1
3030,2019,"A lot. Especially in the US. A CEO reacting to someone burning out by saying ""if he is stressed I should be under my bed with a gun in my mouth"". to be honest these coworkers turned into friends. I would not talk about it with any coworker anxiety issues, perfectionism issues I am from Europe and living in the US now. There are big differences. In Europe the work arena seems for everyone and in the US the work arena seems to be for individuals that hide their mental struggles and take mediocre care of their bodies. I feel blessed for being ""smart enough"" to be productive enough so I can take time for my mental health. This is not true for a lot of my coworkers. Some of my previous supervisors",0
2834,2019,Some of my previous supervisors,2
1870,2017,"Put as much effort into raising awareness for this leading cause of death and disability as they do for diversity and wellness initiatives. Mention of dealing with someone close currently struggling (suicidal) All my employers had an ""Employee Assistance Program"" which technically provided a confidential ""resources to learn more about mental health disorders and how to seek help"", but I would not classify it as a useful benefit in this regard. No one use them, and a recommendation to use the EAP is a sly, stigma ridden method of recommend someone see a mental health professional. No, none of my previous supervisors",0
2838,2019,I told them I'd rather not check my email at all hours of the day for fear of my mental health.,1
2041,2017,"Continue to work to remove stigma. Create a safe place for workers to find and provide support. I have talked to multiple co-workers about my struggles with anxiety and ADD. Their reactions varied from ""me too"" and them sharing their experiences to just general empathy. While I haven't told all of my co-workers I don't it's something I feel i need to hide from them. I told my employer about my trouble focusing and my diagnosis of anxiety and ADD. He was very understanding, and did not press the issue allowing me to open up as much so wanted. He really made me feel comfortable talking with him. A co-worker told me about their experience with depression and how they try to cope with it. Often co-workers will post in our mental health slack room if they are having a bad day and they'll receive support from the group. I feel like the company I work for is unique in how supportive it is and how well the employees support each other. No, none of my previous supervisors",1
891,2016,One-person shop | Designer | Front-end Developer | Back-end Developer Some of my previous employers,2
131,2014,"These result may be a tad confusing, so a summary follows.

* Currently self-employed so employer is me :)
* Last place of employment was amazing when I first discovered I was bi-polar and helped me as long as I was there up to and including a mental health course for the whole team (although no mention why to others which was great).
* I've never had a negative reaction yet, but I know others who have.
* I've been very lucky with company I keep which is why my experience is largely good.",1
866,2016,Front-end Developer | Back-end Developer | DevOps/SysAdmin I don't know,2
2480,2018,They were supportive I shared my anxiety and occasional panic attacks. They were supportive. They were supportive I don't know,1
213,2016,"Executive Leadership No, at none of my previous employers",2
262,2016,Back-end Developer Some of my previous employers,2
3259,2021,"Yes, all of my previous supervisors Yes, at all of my previous employers",2
3228,2021,"Some of my previous supervisors Yes, at all of my previous employers physical health issues often are not stigmatized/held against you mental health issues are stigmatized and seen as a ""weakness""",0
1236,2016,Back-end Developer Some of my previous employers,2
368,2016,Supervisor/Team Lead,2
2687,2018,"I think the industry is fairly passive in discussing and supporting mental health.  More could be done to actively reduce stigma, and provide support to those who may benefit. No, none of my previous supervisors",1
410,2016,"Front-end Developer | Designer No, at none of my previous employers",2
155,2014,I openly discuss my mental health struggles. I have found that doing so encourages people who also struggle to seek treatment. I'm willing to risk losing the support of people who don't understand if it helps those who understand all too well.,1
721,2016,Back-end Developer Some of my previous employers,2
808,2016,Back-end Developer Some of my previous employers,2
96,2014,"My current work situation was constructed, in part, because of my mental health issues. One of the reasons I'm self employed is to give me the most flexibility for coping with my mental health issues.

I have been removed from a client project in the past because of a mental health condition. This was while I was an employee for a large consulting company.",1
481,2016,Supervisor/Team Lead,2
282,2016,DevOps/SysAdmin | Back-end Developer Some of my previous employers,2
1362,2016,"DevOps/SysAdmin No, at none of my previous employers",2
3495,2022,"Some of my previous supervisors At some of my previous employers I would hope they would not discriminate but there are all kinds of people out there Same, I would hope for no discrimination but can never tell who will be the bad apples Tech is full of startups and employers who expect a lot of their employees, and as a result burnout is too common",1
673,2016,"Supervisor/Team Lead | Back-end Developer | Front-end Developer No, at none of my previous employers",2
1230,2016,"Other | Dev Evangelist/Advocate No, at none of my previous employers",2
3038,2019,"stop judging, offer better insurance coverage and offer in-house counseling. my manager at my previous job scoffed at my admission to him about having ADHD:  ""that's something my brother had as a little kid"". i have a pretty close relationship with some of my co-workers, and have discussed my ADHD with them.  they were supportive, and didn't pry too deeply. i have severe ADHD, and it's important to discuss this with my direct manager.  he was very understanding and told me that if i ever needed anything that he'd be there to help. i only discussed my ADHD with co-workers i trusted, and the conversations generally went well. my previous employer was not supportive at all regarding my mental health and ADHD.  it was so bad, that i will never ever forget what my manager said:  ""ADHD?  that's what my little brother had as a kid."" one of my reports was under a lot of stress this past year, and approached me to discuss this and his resulting poor behavior.  i told him that i'd noticed, and that he should take as much time as he needs to get himself centered.  i also voiced my support if he were to seek help (which he declined). Yes, all of my previous supervisors",1
1170,2016,"Supervisor/Team Lead | Support | Front-end Developer | Back-end Developer Yes, at all of my previous employers",1
889,2016,Other | Support | Back-end Developer | Front-end Developer | Designer Some of my previous employers,2
972,2016,Back-end Developer Some of my previous employers,2
2560,2018,"No, none of my previous supervisors",2
370,2016,DevOps/SysAdmin | Back-end Developer Some of my previous employers,2
2246,2017,Some of my previous supervisors,2
1939,2017,"I think this depends on the company. My former company(ies) were pretty bad. My current company is excellent. We have a mental health channel in slack, mental health benefits are often and openly discussed, both in-patient and out-patient services. Folks are encouraged to take mental health days if necessary and encouraged to discuss what they're going through with others. That being said, the company is facing a tough financial time so recently, the encouragement to take PTO, etc. has decreased and stress level has increased. This was at a previous employer. In retrospect, I think I suffered from some post-partum anxiety and post-partum depression after the birth of my first child. My leave was pretty short (6 weeks) and after 10 weeks when I would literally be crying at standup half the time, I was told I wasn't ramping up fast enough. I was the first woman on the team and the only mom that had ever been on the team, and honestly, because it was my first, I did not fully realize the extent of the post-partum issues, but there was also no support or recognition for them and, in fact, the additional pressure placed on me probably drove me into a worse spot for a little less than a year before I could think more clearly, recognize what was happening, etc. In Slack, a coworker stated he was depressed and needed the teams help understanding that. It was a little difficult for me to answer some of the questions related to mental health disorders because something like post-partum related issues are often for a short period of time so it's not a lifelong depression or something you struggle with all the time, but it is a huge mental health issue (and something that's generally not covered by insurance making it even more difficult to provide resources for). No, none of my previous supervisors",1
919,2016,Supervisor/Team Lead,2
2945,2019,"Less working time per person. A co-worker described as ""kind of weak"" regarding ""where society goes"" (I don't have details on the situation though) I don't know",0
