Are you self-employed?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Do you currently have a mental health disorder?,Do you have a family history of mental illness?,Do you have previous employers?,Do you know the options for mental health care available under your employer-provided health coverage?,Does your employer offer resources to learn more about mental health disorders and options for seeking help?,Does your employer provide mental health benefits as part of healthcare coverage?,Have you ever sought treatment for a mental health disorder from a mental health professional?,Have you had a mental health disorder in the past?,Have you observed or experienced a *supportive or well handled response* to a mental health issue in your current or previous workplace?,Have your previous employers provided mental health benefits?,How many employees does your company or organization have?,How willing would you be to share with friends and family that you have a mental illness?,"If a mental health issue prompted you to request a medical leave from work, how easy or difficult would it be to ask for that leave?","If you have a mental health disorder, how often do you feel that it interferes with your work when being treated effectively?","If you have a mental health disorder, how often do you feel that it interferes with your work when not being treated effectively (i.e., when you are experiencing symptoms)?",Is your employer primarily a tech company/organization?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Were you aware of the options for mental health care provided by your previous employers?,What country do you live in?,What country do you work in?,What is your age?,Would you bring up your *mental* health with a potential employer in an interview?,Would you feel comfortable discussing a mental health issue with your coworkers?,Would you have been willing to discuss your mental health with your direct supervisor(s)?,year
0,Unknown,No,No,1,Unknown,No,Not eligible for coverage / NA,0,Yes,No,No,26-100,7,5.0,0,0,1.0,Unknown,NA,United Kingdom,United Kingdom,39.0,Maybe,Maybe,Some,2016
0,No,Yes,Yes,1,Yes,Partial,No,1,Yes,No,Yes,6-25,7,4.0,2,3,1.0,Yes,Partial,United States of America,United States of America,29.0,Maybe,Maybe,Some,2016
0,No,No,No,1,Unknown,Partial,No,1,Maybe,Maybe,No,6-25,7,3.0,0,0,1.0,Unknown,NA,United Kingdom,United Kingdom,38.0,Yes,Maybe,Unknown,2016
1,No,Yes,No,1,Unknown,No,Unknown,1,Yes,No,Partial,Unknown,5,0.0,3,3,,Unknown,NA,United Kingdom,United Kingdom,43.0,Yes,Unknown,Some,2016
0,Partial,Yes,Yes,1,Yes,No,Yes,1,Yes,Yes,Unknown,6-25,7,3.0,3,3,0.0,No,NA,United States of America,United States of America,43.0,Maybe,Maybe,Some,2016
0,No,Yes,No,1,Unknown,No,Yes,1,No,Yes,No,More than 1000,7,4.0,0,4,1.0,Yes,Yes,United Kingdom,United Kingdom,42.0,Yes,Maybe,No,2016
0,No,No,No,1,No,Partial,Unknown,0,No,No,Partial,26-100,0,4.0,0,0,1.0,Unknown,Partial,United States of America,United States of America,30.0,Yes,Maybe,Yes,2016
0,Partial,Yes,Yes,1,Yes,Partial,Yes,1,Yes,Yes,Partial,More than 1000,7,5.0,3,4,1.0,Yes,Partial,United States of America,United States of America,37.0,No,Maybe,Some,2016
0,Partial,Yes,Yes,1,No,No,Unknown,1,Yes,Yes,Unknown,26-100,7,1.0,2,4,0.0,Unknown,NA,United States of America,United States of America,44.0,Maybe,Yes,No,2016
1,No,Yes,Yes,1,Unknown,No,Unknown,1,Yes,No,Partial,Unknown,10,0.0,2,4,,Unknown,Partial,United States of America,United States of America,30.0,Yes,Unknown,Some,2016
