Are you self-employed?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Do you currently have a mental health disorder?,Do you have a family history of mental illness?,Do you have previous employers?,Do you know the options for mental health care available under your employer-provided health coverage?,Does your employer offer resources to learn more about mental health disorders and options for seeking help?,Does your employer provide mental health benefits as part of healthcare coverage?,Have you ever sought treatment for a mental health disorder from a mental health professional?,Have you had a mental health disorder in the past?,Have you observed or experienced a *supportive or well handled response* to a mental health issue in your current or previous workplace?,Have your previous employers provided mental health benefits?,How many employees does your company or organization have?,How willing would you be to share with friends and family that you have a mental illness?,"If a mental health issue prompted you to request a medical leave from work, how easy or difficult would it be to ask for that leave?","If you have a mental health disorder, how often do you feel that it interferes with your work when being treated effectively?","If you have a mental health disorder, how often do you feel that it interferes with your work when not being treated effectively (i.e., when you are experiencing symptoms)?",Is your employer primarily a tech company/organization?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Were you aware of the options for mental health care provided by your previous employers?,What country do you work in?,What is your age?,Would you bring up your *mental* health with a potential employer in an interview?,Would you feel comfortable discussing a mental health issue with your coworkers?,Would you have been willing to discuss your mental health with your direct supervisor(s)?,year
0,I don't know,No,No,1,Unknown,None did,Not eligible for coverage / NA,0,Yes,No,"No, none did",26-100,Somewhat open,Very easy,Not applicable to me,Not applicable to me,1,I don't know,N/A (not currently aware),United Kingdom,39.0,Maybe,Maybe,Some of my previous employers,2016
0,None did,Yes,Yes,1,Yes,Some did,No,1,Yes,No,"Yes, they all did",6-25,Somewhat open,Somewhat easy,Rarely,Sometimes,1,Yes,I was aware of some,United States of America,29.0,Maybe,Maybe,Some of my previous employers,2016
0,None did,No,No,1,Unknown,Some did,No,1,Maybe,Maybe/Not sure,"No, none did",6-25,Somewhat open,Neither easy nor difficult,Not applicable to me,Not applicable to me,1,I don't know,N/A (not currently aware),United Kingdom,38.0,Yes,Maybe,I don't know,2016
1,None did,Yes,No,1,Unknown,None did,Unknown,1,Yes,No,Some did,Unknown,Neutral,Unknown,Sometimes,Sometimes,Unknown,Unknown,N/A (not currently aware),United Kingdom,43.0,Yes,Unknown,Some of my previous employers,2016
0,Some did,Yes,Yes,1,Yes,None did,Yes,1,Yes,"Yes, I experienced",I don't know,6-25,Somewhat open,Neither easy nor difficult,Sometimes,Sometimes,0,No,N/A (not currently aware),United States of America,43.0,Maybe,Maybe,Some of my previous employers,2016
0,None did,Yes,No,1,I am not sure,None did,Yes,1,No,"Yes, I experienced","No, none did",More than 1000,Somewhat open,Somewhat easy,Not applicable to me,Often,1,Yes,"Yes, I was aware of all of them",United Kingdom,42.0,Yes,Maybe,"No, at none of my previous employers",2016
0,None did,No,No,1,No,Some did,I don't know,0,No,No,Some did,26-100,Not applicable to me (I do not have a mental illness),Somewhat easy,Not applicable to me,Not applicable to me,1,I don't know,I was aware of some,United States of America,30.0,Yes,Maybe,"Yes, at all of my previous employers",2016
0,Some did,Yes,Yes,1,Yes,Some did,Yes,1,Yes,"Yes, I observed",Some did,More than 1000,Somewhat open,Very easy,Sometimes,Often,1,Yes,I was aware of some,United States of America,37.0,No,Maybe,Some of my previous employers,2016
0,Some did,Yes,Yes,1,No,None did,I don't know,1,Yes,"Yes, I observed",I don't know,26-100,Somewhat open,Very difficult,Rarely,Often,0,I don't know,N/A (not currently aware),United States of America,44.0,Maybe,Yes,"No, at none of my previous employers",2016
1,None did,Yes,Yes,1,Unknown,None did,Unknown,1,Yes,No,Some did,Unknown,Very open,Unknown,Rarely,Often,Unknown,Unknown,I was aware of some,United States of America,30.0,Yes,Unknown,Some of my previous employers,2016
0,None did,Yes,I don't know,1,I am not sure,None did,Yes,1,Yes,"Yes, I observed","No, none did",26-100,Very open,Very easy,Sometimes,Often,1,Yes,N/A (not currently aware),United States of America,28.0,Yes,Maybe,Some of my previous employers,2016
0,None did,Yes,Yes,1,Yes,None did,Yes,1,Yes,No,"No, none did",100-500,Not open at all,Somewhat difficult,Never,Rarely,0,I don't know,N/A (not currently aware),United States of America,34.0,No,No,"No, at none of my previous employers",2016
0,Some did,Yes,Yes,1,I am not sure,Some did,Yes,1,Yes,No,Some did,100-500,Somewhat open,Very easy,Rarely,Sometimes,1,Yes,"Yes, I was aware of all of them",United States of America,30.0,No,Yes,Some of my previous employers,2016
0,None did,Maybe,No,1,Yes,None did,Yes,0,Maybe,"Yes, I experienced",I don't know,100-500,Not open at all,Somewhat easy,Not applicable to me,Sometimes,0,Yes,N/A (not currently aware),Canada,44.0,Yes,No,Some of my previous employers,2016
